,longitude,latitude,date,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-118.1775,54.538666,2021-01-01,N,-1.7784903,1.5101151,270.51794,270.05832,269.57834,272.77927,275.11145,2.0,3.379556e-05,0.3482903,0.34710225,0.34671956,0.3644859
1,-118.49149,55.577667,2021-01-05,N,-1.0008385,2.4227436,268.18597,268.03906,271.0883,272.9603,275.7213,3.6666667,0.0,0.4034735,0.39606884,0.36691388,0.3860308
2,-118.487495,54.17767,2021-01-06,D,0.777582,4.010512,272.30762,271.17538,270.5268,272.43988,274.43265,2.0,2.2335336e-05,0.3392841,0.3380011,0.3389517,0.36303246
3,-121.4895,51.745667,2021-01-06,N,-0.5844912,1.7767639,275.36172,273.46558,273.00385,273.90286,276.02057,2.0,1.7867907e-06,0.3516893,0.35480812,0.36099306,0.3809944
4,-114.9245,53.2065,2021-01-07,D,1.672186,1.7012932,267.3881,267.81516,270.94547,272.8651,275.36108,2.0,0.0,0.32786858,0.31884855,0.3098293,0.36494982
5,-110.1405,55.822666,2021-01-07,N,3.9780214,1.5145292,271.91144,269.43442,270.25848,272.3622,275.41653,5.3333335,0.0,0.5436301,0.53051317,0.53879154,0.544502
6,-117.5065,53.58867,2021-01-08,D,1.2061734,2.1147046,259.9915,262.75253,268.12222,271.9126,274.34964,1.8888888,0.0,0.34525716,0.32999474,0.33089584,0.38067716
7,-113.108505,54.744663,2021-01-09,D,2.132517,1.05255,256.95895,264.23257,269.37024,272.4856,274.93152,3.1666667,5.108783e-09,0.3651164,0.35912117,0.35582843,0.3738195
8,-116.4665,54.01967,2021-01-10,D,1.3338327,1.9513991,264.46188,264.33878,267.22366,272.35367,274.45453,2.0,0.0,0.3554173,0.34328237,0.3374708,0.37185624
9,-112.1175,53.65167,2021-01-12,D,2.8587193,1.6181873,268.15857,268.96143,270.35602,272.8572,275.1297,2.3333333,0.0,0.28802383,0.28184813,0.28557432,0.28764004
10,-121.5105,55.55367,2021-01-13,D,1.7495024,1.2124659,267.3835,272.8965,272.04153,272.6626,274.19873,1.8888888,0.0,0.32723373,0.32150576,0.32168013,0.3391118
