,longitude,latitude,date,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-115.849,55.696,2020-01-04,D,1.307426,2.8943696,265.89972,268.47513,270.73834,272.23978,274.91565,3.1111112,1.789818e-05,0.38563097,0.37041545,0.37508166,0.3648976
1,-116.8125,53.581665,2020-01-06,D,2.5356631,-0.13158445,265.49857,271.84305,271.86066,273.31216,275.6788,4.2222223,4.8335933e-05,0.4711209,0.4730074,0.47893503,0.5262693
2,-122.4705,52.300663,2020-01-20,D,-3.2949893,3.7371588,274.18335,272.91855,272.6759,273.12683,274.6958,2.0,9.598971e-05,0.3572902,0.35737863,0.3610958,0.37133452
3,-107.2775,53.85367,2020-01-21,D,3.7346835,-0.77788615,266.24402,264.56107,266.04468,268.82358,273.78183,2.8888888,0.0,0.3271693,0.29790497,0.29831868,0.31287313
4,-121.974495,56.259663,2020-01-21,N,-0.12867586,-0.7209857,265.2965,268.38748,270.18848,271.26086,273.84305,1.5555556,8.0401305e-06,0.30730027,0.3021132,0.29465157,0.28698388
5,-117.6475,54.811665,2020-01-22,D,1.6082363,1.5978105,270.11316,271.78082,270.8612,272.7399,274.5142,2.0,1.9278832e-05,0.39516294,0.37674937,0.3816174,0.4120042
6,-119.46449,56.05267,2020-01-23,N,0.5370464,1.6158366,269.2576,267.972,270.33017,272.19348,274.55606,4.0,4.1210107e-05,0.43949762,0.4377649,0.43794596,0.40908465
7,-119.7145,54.85967,2020-01-24,D,1.1741564,1.8288207,267.1249,269.75302,271.2999,272.74454,274.34476,2.3333232,8.303725e-07,0.38235056,0.37885746,0.3839118,0.3958007
8,-122.2945,56.731663,2020-01-24,N,-0.09912208,1.5707802,270.51697,270.49597,269.84467,270.68738,273.68817,1.6666666,8.955764e-05,0.3170025,0.30259788,0.2981596,0.28938892
9,-116.625496,54.204666,2020-01-25,D,2.4206514,1.9249454,267.38513,269.25308,271.14963,272.76743,274.16446,2.0,0.0,0.3547374,0.34560847,0.3429806,0.39818335
10,-120.6975,56.049667,2020-01-25,N,0.63330853,2.3680255,273.9806,270.10248,271.3005,272.52112,274.17432,2.3333316,0.0,0.35669267,0.35265437,0.35209906,0.30318627
11,-114.073494,55.658665,2020-01-26,D,0.5333294,1.9342136,263.09442,266.44632,268.23285,270.4886,274.92145,5.0,0.0,0.53902775,0.49487936,0.4993293,0.488998
12,-120.847496,55.069996,2020-01-26,N,0.34800893,0.9150859,269.3578,270.71613,271.7079,272.6899,273.9228,1.4444444,2.12376e-05,0.3042253,0.30185756,0.30001518,0.33420473
13,-118.9235,54.896667,2020-01-27,D,1.0832906,2.46534,263.44614,269.35187,271.09247,272.8861,274.63284,3.1111078,1.4072332e-05,0.40658316,0.39916924,0.40387905,0.4261075
14,-119.0035,54.959667,2020-01-28,D,0.98637074,1.2008224,261.48788,270.17075,270.98285,272.86426,274.64618,3.1111078,0.0,0.41249478,0.4055405,0.41084796,0.4279288
15,-121.7775,55.827667,2020-01-29,D,-0.31867024,2.5268323,267.95056,271.90378,271.9021,272.44202,273.92575,2.0,2.2965191e-06,0.32841673,0.32822716,0.32575515,0.32984632
16,-121.107506,55.584667,2020-01-30,D,2.9437113,3.4447742,271.3633,272.4724,271.82764,272.67255,273.99936,2.2222223,1.2558962e-07,0.34785017,0.34630147,0.34746832,0.3442921
17,-113.6735,56.956665,2020-01-30,N,1.9489534,2.9375818,272.41385,267.50266,267.78036,269.72107,274.159,4.3333335,0.0,0.50065243,0.44889122,0.44827133,0.44974142
18,-122.2235,55.806667,2020-01-31,N,0.38023612,2.110743,270.08737,271.95837,272.28674,272.62677,273.85608,1.5555556,5.5649067e-05,0.28806996,0.29017842,0.29034427,0.3173936
19,-109.9085,54.663666,2020-02-02,N,2.4938302,-3.1391573,261.7423,269.75107,270.9908,271.23502,273.72037,2.4444478,0.0,0.31781846,0.3108891,0.30124375,0.29628688
