,longitude,latitude,date,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-121.65749,55.745667,2017-01-12,D,2.1518023,3.3023493,252.75276,271.9786,272.68033,273.53278,274.98718,2.0,0.0,0.32458898,0.32759047,0.3355587,0.33217716
1,-113.9605,55.48567,2017-01-14,D,3.2285357,2.3531234,267.3854,265.75052,265.18,269.8464,274.88235,4.3333335,0.0,0.42899537,0.4155644,0.41371688,0.40748048
2,-116.2665,54.47167,2017-01-15,D,4.1754823,1.2281642,273.61877,272.69324,271.66446,271.68784,274.07388,2.2222223,0.0,0.33209655,0.3339741,0.33136854,0.364466
3,-121.6485,55.729664,2017-01-16,D,3.9247046,5.493272,275.73962,272.70428,272.64905,273.49924,274.83752,2.0,5.5515994e-07,0.322704,0.32550085,0.3338111,0.33241612
4,-119.0235,54.4455,2017-01-18,D,0.91460854,3.13756,274.55685,272.8487,272.33936,272.1311,274.012,2.0,0.0,0.39210847,0.37597618,0.3324084,0.37007108
5,-116.5615,53.022663,2017-01-19,D,0.61086136,2.743373,268.29736,272.93756,272.7674,273.271,275.45462,3.7777777,2.6032561e-08,0.47812802,0.45971695,0.45078632,0.48688057
6,-108.27151,53.712666,2017-01-19,N,-0.28581372,1.7936713,274.12317,269.70612,269.04068,267.4101,273.7513,2.7777777,0.0,0.35250798,0.3271902,0.3220913,0.3149577
7,-117.378494,54.822666,2017-01-20,D,0.61830693,2.335129,269.17477,272.67334,271.94864,271.83795,274.69888,2.6666667,1.7034307e-06,0.43734083,0.42714825,0.3920118,0.38731065
8,-117.0565,54.432667,2017-01-24,D,1.593019,1.9243408,261.48788,267.43582,270.32925,271.87198,274.2502,2.6666667,0.0,0.3977565,0.399066,0.36690536,0.37473693
9,-116.4275,54.393665,2017-01-25,D,0.11934773,1.695851,259.3807,268.6365,270.59235,271.78845,273.97522,2.4444444,0.0,0.3711051,0.37194744,0.34409904,0.36244133
10,-115.2015,55.1585,2017-01-26,D,4.922472,-0.1978823,268.50394,268.1016,268.49976,271.4033,273.80264,2.0,0.0,0.33580446,0.328824,0.29323706,0.30807382
11,-117.7425,58.57567,2017-01-26,N,2.4080124,1.1720176,271.7284,268.26697,270.44876,271.86667,274.2649,3.7777693,0.0,0.4299295,0.39981323,0.37810406,0.31839767
