,longitude,latitude,date,month,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-120.7944,55.339499999999994,2022-01-11,01,D,0.6873694,1.9363073,270.36978,270.9648,271.39444,272.51733,274.43784,2,1.3527843e-05,0.3299842,0.3302871,0.3319406,0.32906574
1,-115.60915,54.6095,2022-01-12,01,D,4.3206706,0.39790955,271.85602,269.69324,271.22546,272.62396,274.46167,2,1.6442687e-05,0.3192041,0.3122794,0.31067926,0.337422
2,-118.8242,54.606750000000005,2022-01-13,01,D,1.2060797,0.7803578,272.61536,271.17438,271.59705,272.9887,274.98334,2,0.00047930528,0.36026347,0.36215276,0.37205476,0.36706617
3,-120.15755,54.888774999999995,2022-01-14,01,D,2.3211396,2.9989133,268.44135,270.7201,271.69467,272.83118,274.47067,2,4.7168417e-08,0.33216444,0.33288485,0.34360844,0.3362594
4,-116.46225000000001,54.32155,2022-01-14,01,N,0.81865615,2.4738138,268.5536,268.87338,271.41495,273.006,274.80664,2,0.0,0.33158195,0.32943526,0.32940465,0.34524852
5,-119.93253333333332,55.749766666666666,2022-01-15,01,D,5.4817758,2.7181187,276.80127,271.598,271.08774,272.50787,274.9907,3,0.0,0.41142085,0.38134137,0.37459406,0.3441328
6,-114.1811,49.376,2022-01-18,01,N,-2.0306506,-0.6931273,257.53845,268.69247,272.64734,273.0227,275.49457,2,0.0001259775,0.32116652,0.32775947,0.33638972,0.35924727
7,-117.5004,54.4232,2022-01-20,01,D,0.5902108,4.387116,268.7868,269.02142,271.35315,272.78467,274.69592,2,0.0001641275,0.35119393,0.34834903,0.3465176,0.3606436
8,-115.59049999999999,54.6407,2022-01-22,01,D,6.6922307,-3.3350368,276.38245,270.2898,271.19562,272.52505,274.1292,2,9.821808e-05,0.33774307,0.3131796,0.30865574,0.3381394
9,-116.0083,53.0929,2022-01-23,01,D,7.0995355,-0.2852324,279.1355,272.6843,271.90662,273.40906,276.14954,6,0.0,0.6021959,0.54268146,0.5321328,0.54302716
10,-118.9979,54.92835,2022-01-24,01,N,1.9611715,0.38708127,274.8762,271.846,271.8192,273.1729,275.1428,4,4.9556373e-08,0.45098272,0.44636434,0.4139617,0.38489813
11,-121.59685714285715,55.535671428571426,2022-01-25,01,D,3.6146085,3.6667755,272.8351,272.73703,272.2669,272.67545,274.01083,2,0.0,0.31295726,0.31535175,0.31731275,0.32828936
12,-115.6182,54.6035,2022-01-25,01,N,6.6860614,-3.23742,278.68018,272.82556,271.69318,272.53088,274.07956,2,0.0,0.36351407,0.34972796,0.306809,0.3366644
13,-116.06273333333333,53.097095833333334,2022-01-27,01,D,1.6729921,2.4388378,261.57095,272.93356,272.1236,273.3361,275.85104,6,0.0,0.5487187,0.54575586,0.5254074,0.5381676
14,-119.89,55.5015,2022-01-29,01,N,2.8745093,2.7694778,276.4485,273.5986,272.1872,272.59723,274.4222,3,4.44389e-05,0.40677688,0.41138753,0.38344344,0.3473653
15,-122.1568,56.2799,2022-01-30,01,D,1.2427983,0.83804077,266.96756,272.30197,272.32782,272.44666,273.90012,2,1.5232475e-06,0.30301687,0.3034452,0.27558437,0.2799034
16,-120.4367,55.21465,2022-01-30,01,N,1.5607216,1.1257977,272.81494,270.4392,272.20792,272.5771,274.02704,2,1.3155977e-06,0.35309297,0.35630724,0.34327385,0.33327386
17,-120.28252499999999,55.330349999999996,2022-02-06,02,D,5.953293,3.954505,277.68906,272.10706,271.09875,272.52786,274.01257,2,9.242528e-06,0.36625865,0.36409792,0.35492995,0.3322591
18,-113.75743333333332,51.651199999999996,2022-02-07,02,D,4.6057196,3.4277465,279.5526,274.5584,270.95215,271.90256,274.5021,2,0.0,0.2744602,0.20526473,0.17444383,0.22201414
19,-110.7732,56.3635,2022-02-07,02,N,5.042318,0.9419647,278.3312,271.85013,271.27573,273.41602,275.75256,6,0.0,0.58362865,0.5520289,0.5558014,0.60072327
20,-118.5162,55.032085714285714,2022-02-08,02,D,6.1708264,1.3353925,276.22864,273.2904,271.37656,272.92087,274.80435,4,0.00024591674,0.46306527,0.45883358,0.43089336,0.40065673
21,-117.02199999999999,55.1054,2022-02-10,02,N,3.8619995,-3.189453,275.92215,272.8765,271.94342,272.7895,274.4791,4,8.418733e-05,0.48444134,0.4814684,0.42926222,0.3934491
22,-116.38334,54.06024,2022-02-11,02,D,4.696817,-4.304985,268.91907,272.82816,272.23358,272.9791,274.1272,2,7.742028e-07,0.41622332,0.4164607,0.34190777,0.34582737
23,-117.0404,55.1105,2022-02-11,02,N,0.9389839,2.772187,270.8576,271.53116,272.0146,272.7882,274.45892,4,0.0,0.46176133,0.46988705,0.43512657,0.39440975
24,-115.48866666666667,53.352466666666665,2022-02-12,02,D,2.4003947,-0.7850595,270.42078,273.51804,272.43863,273.545,275.84314,6,0.0,0.58172756,0.5850109,0.53062665,0.5249131
25,-115.7455142857143,53.43658571428572,2022-02-13,02,D,3.5508823,-1.7049297,274.44937,273.5276,272.4979,273.41095,275.20834,2,0.0,0.5210471,0.5100901,0.44475597,0.44361746
26,-121.257325,55.215675,2022-02-16,02,D,1.1278464,0.6507194,262.1366,271.68332,272.30936,272.6327,273.78564,2,6.514114e-07,0.31575552,0.3176915,0.29597002,0.31705356
27,-123.56530000000001,53.808099999999996,2022-02-16,02,N,2.9494367,-0.22030932,276.5555,272.49765,272.5507,272.78693,274.039,2,0.0,0.39349532,0.3985242,0.3761486,0.35139242
28,-124.3147,52.9056,2022-03-03,03,D,1.5151159,-0.53709203,268.44046,273.16113,272.10086,272.68903,273.82898,2,4.670666e-08,0.36701688,0.36766538,0.34672412,0.34657165
29,-120.5064,50.579350000000005,2022-03-03,03,N,0.75849426,-1.3071914,276.66074,272.96344,272.59372,273.41852,274.38004,2,7.7512705e-05,0.38271788,0.36035034,0.3167846,0.27150255
30,-118.7611,49.8324,2022-03-05,03,N,2.426506,-3.1538363,274.67874,272.81262,272.95886,273.36,274.24197,2,4.6351306e-06,0.34707832,0.346274,0.32840684,0.33052546
31,-115.461,52.03905,2022-03-06,03,D,2.7367141,-1.0233378,262.093,271.8752,271.83636,272.79443,273.79416,2,1.407571e-06,0.29955068,0.29447567,0.28477073,0.31543267
32,-126.1465,55.27405,2022-03-06,03,N,0.84034526,1.5669312,275.6679,272.43414,272.78308,273.34305,273.9899,2,5.0837707e-09,0.33138165,0.3301332,0.32156017,0.36241305
33,-122.32462000000001,52.71694,2022-03-08,03,D,1.6203562,-2.4977818,265.6613,272.77002,272.58365,273.30222,274.28592,2,0.0,0.42165333,0.42066216,0.4103167,0.4007789
34,-62.632600000000004,45.38074,2022-03-09,03,N,1.3507023,2.0845065,271.59976,271.41565,271.55478,272.7008,274.11176,2,0.0,0.35913062,0.3669291,0.3542063,0.37057453
35,-122.583125,55.561525,2022-03-14,03,D,0.47001368,2.0377245,262.09845,271.66583,272.28302,272.87897,273.66028,1,0.00060675904,0.21034515,0.20946795,0.19508477,0.2574268
36,-123.54984999999999,52.34465,2022-03-16,03,D,0.9806316,2.0842683,266.63162,272.7485,272.5883,272.94077,273.84094,2,0.0,0.384583,0.3726303,0.3335168,0.3300593
37,-114.63766666666668,52.599266666666665,2022-03-18,03,D,1.9926994,-1.0381207,270.18903,273.46875,272.23712,272.73642,273.88867,2,0.0,0.3925833,0.387653,0.30761033,0.32659003
38,-113.9434,52.7443,2022-03-22,03,D,2.192109,1.4724357,270.88144,273.18597,272.33984,271.8447,273.69275,2,0.0,0.37823597,0.37556475,0.32170326,0.32574952
39,-115.46835,53.4358,2022-03-23,03,D,2.3810625,2.4250343,275.49976,274.56854,272.81042,272.97046,274.34207,2,0.0,0.47049278,0.47145975,0.42970327,0.40341866
