,lower_longitude,upper_longitude,lower_latitude,upper_latitude,fire_count
125,-138.0,-137.0,82.0,83.0,0
126,-137.0,-136.0,41.0,42.0,0
127,-137.0,-136.0,42.0,43.0,0
128,-137.0,-136.0,43.0,44.0,0
129,-137.0,-136.0,44.0,45.0,0
130,-137.0,-136.0,45.0,46.0,0
131,-137.0,-136.0,46.0,47.0,0
132,-137.0,-136.0,47.0,48.0,0
133,-137.0,-136.0,48.0,49.0,0
134,-137.0,-136.0,49.0,50.0,0
135,-137.0,-136.0,50.0,51.0,0
136,-137.0,-136.0,51.0,52.0,0
137,-137.0,-136.0,52.0,53.0,0
138,-137.0,-136.0,53.0,54.0,0
139,-137.0,-136.0,54.0,55.0,0
140,-137.0,-136.0,55.0,56.0,0
141,-137.0,-136.0,56.0,57.0,0
142,-137.0,-136.0,57.0,58.0,0
143,-137.0,-136.0,58.0,59.0,0
144,-137.0,-136.0,59.0,60.0,0
145,-137.0,-136.0,60.0,61.0,1
146,-137.0,-136.0,61.0,62.0,24
147,-137.0,-136.0,62.0,63.0,234
148,-137.0,-136.0,63.0,64.0,323
149,-137.0,-136.0,64.0,65.0,29
150,-137.0,-136.0,65.0,66.0,38
151,-137.0,-136.0,66.0,67.0,46
152,-137.0,-136.0,67.0,68.0,222
153,-137.0,-136.0,68.0,69.0,0
154,-137.0,-136.0,69.0,70.0,0
155,-137.0,-136.0,70.0,71.0,0
156,-137.0,-136.0,71.0,72.0,0
157,-137.0,-136.0,72.0,73.0,0
158,-137.0,-136.0,73.0,74.0,0
159,-137.0,-136.0,74.0,75.0,0
160,-137.0,-136.0,75.0,76.0,0
161,-137.0,-136.0,76.0,77.0,0
162,-137.0,-136.0,77.0,78.0,0
163,-137.0,-136.0,78.0,79.0,0
164,-137.0,-136.0,79.0,80.0,0
165,-137.0,-136.0,80.0,81.0,0
166,-137.0,-136.0,81.0,82.0,0
167,-137.0,-136.0,82.0,83.0,0
168,-136.0,-135.0,41.0,42.0,0
169,-136.0,-135.0,42.0,43.0,0
170,-136.0,-135.0,43.0,44.0,0
171,-136.0,-135.0,44.0,45.0,0
172,-136.0,-135.0,45.0,46.0,0
173,-136.0,-135.0,46.0,47.0,0
174,-136.0,-135.0,47.0,48.0,0
175,-136.0,-135.0,48.0,49.0,0
176,-136.0,-135.0,49.0,50.0,0
177,-136.0,-135.0,50.0,51.0,0
178,-136.0,-135.0,51.0,52.0,0
179,-136.0,-135.0,52.0,53.0,0
180,-136.0,-135.0,53.0,54.0,0
181,-136.0,-135.0,54.0,55.0,0
182,-136.0,-135.0,55.0,56.0,0
183,-136.0,-135.0,56.0,57.0,0
184,-136.0,-135.0,57.0,58.0,0
185,-136.0,-135.0,58.0,59.0,0
186,-136.0,-135.0,59.0,60.0,0
187,-136.0,-135.0,60.0,61.0,1
188,-136.0,-135.0,61.0,62.0,216
189,-136.0,-135.0,62.0,63.0,218
190,-136.0,-135.0,63.0,64.0,273
191,-136.0,-135.0,64.0,65.0,56
192,-136.0,-135.0,65.0,66.0,77
193,-136.0,-135.0,66.0,67.0,13
194,-136.0,-135.0,67.0,68.0,20
195,-136.0,-135.0,68.0,69.0,0
196,-136.0,-135.0,69.0,70.0,0
197,-136.0,-135.0,70.0,71.0,0
198,-136.0,-135.0,71.0,72.0,0
199,-136.0,-135.0,72.0,73.0,0
200,-136.0,-135.0,73.0,74.0,0
201,-136.0,-135.0,74.0,75.0,0
202,-136.0,-135.0,75.0,76.0,0
203,-136.0,-135.0,76.0,77.0,0
204,-136.0,-135.0,77.0,78.0,0
205,-136.0,-135.0,78.0,79.0,0
206,-136.0,-135.0,79.0,80.0,0
207,-136.0,-135.0,80.0,81.0,0
208,-136.0,-135.0,81.0,82.0,0
209,-136.0,-135.0,82.0,83.0,0
210,-135.0,-134.0,41.0,42.0,0
211,-135.0,-134.0,42.0,43.0,0
212,-135.0,-134.0,43.0,44.0,0
213,-135.0,-134.0,44.0,45.0,0
214,-135.0,-134.0,45.0,46.0,0
215,-135.0,-134.0,46.0,47.0,0
216,-135.0,-134.0,47.0,48.0,0
217,-135.0,-134.0,48.0,49.0,0
218,-135.0,-134.0,49.0,50.0,0
219,-135.0,-134.0,50.0,51.0,0
220,-135.0,-134.0,51.0,52.0,0
221,-135.0,-134.0,52.0,53.0,0
222,-135.0,-134.0,53.0,54.0,0
223,-135.0,-134.0,54.0,55.0,0
224,-135.0,-134.0,55.0,56.0,0
225,-135.0,-134.0,56.0,57.0,0
226,-135.0,-134.0,57.0,58.0,0
227,-135.0,-134.0,58.0,59.0,0
228,-135.0,-134.0,59.0,60.0,4
229,-135.0,-134.0,60.0,61.0,12
230,-135.0,-134.0,61.0,62.0,158
231,-135.0,-134.0,62.0,63.0,51
232,-135.0,-134.0,63.0,64.0,397
233,-135.0,-134.0,64.0,65.0,13
234,-135.0,-134.0,65.0,66.0,216
235,-135.0,-134.0,66.0,67.0,110
236,-135.0,-134.0,67.0,68.0,202
237,-135.0,-134.0,68.0,69.0,0
238,-135.0,-134.0,69.0,70.0,0
239,-135.0,-134.0,70.0,71.0,0
240,-135.0,-134.0,71.0,72.0,0
241,-135.0,-134.0,72.0,73.0,0
242,-135.0,-134.0,73.0,74.0,0
243,-135.0,-134.0,74.0,75.0,0
244,-135.0,-134.0,75.0,76.0,0
245,-135.0,-134.0,76.0,77.0,0
246,-135.0,-134.0,77.0,78.0,0
247,-135.0,-134.0,78.0,79.0,0
248,-135.0,-134.0,79.0,80.0,0
249,-135.0,-134.0,80.0,81.0,0
250,-135.0,-134.0,81.0,82.0,0
251,-135.0,-134.0,82.0,83.0,0
252,-134.0,-133.0,41.0,42.0,0
253,-134.0,-133.0,42.0,43.0,0
254,-134.0,-133.0,43.0,44.0,0
255,-134.0,-133.0,44.0,45.0,0
256,-134.0,-133.0,45.0,46.0,0
257,-134.0,-133.0,46.0,47.0,0
258,-134.0,-133.0,47.0,48.0,0
259,-134.0,-133.0,48.0,49.0,0
260,-134.0,-133.0,49.0,50.0,0
261,-134.0,-133.0,50.0,51.0,0
262,-134.0,-133.0,51.0,52.0,0
263,-134.0,-133.0,52.0,53.0,0
264,-134.0,-133.0,53.0,54.0,0
265,-134.0,-133.0,54.0,55.0,0
266,-134.0,-133.0,55.0,56.0,0
267,-134.0,-133.0,56.0,57.0,0
268,-134.0,-133.0,57.0,58.0,0
269,-134.0,-133.0,58.0,59.0,35
270,-134.0,-133.0,59.0,60.0,0
271,-134.0,-133.0,60.0,61.0,3
272,-134.0,-133.0,61.0,62.0,0
273,-134.0,-133.0,62.0,63.0,45
274,-134.0,-133.0,63.0,64.0,106
275,-134.0,-133.0,64.0,65.0,7
276,-134.0,-133.0,65.0,66.0,78
277,-134.0,-133.0,66.0,67.0,52
278,-134.0,-133.0,67.0,68.0,22
279,-134.0,-133.0,68.0,69.0,7
280,-134.0,-133.0,69.0,70.0,0
281,-134.0,-133.0,70.0,71.0,0
282,-134.0,-133.0,71.0,72.0,0
283,-134.0,-133.0,72.0,73.0,0
284,-134.0,-133.0,73.0,74.0,0
