latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
54.3574,-118.5211,339.6,1,1,2011-01-02,1916,Terra,MODIS,0,6.03,267.7,51.4,D,0
53.8798,-118.6843,324.9,2.5,1.5,2011-01-03,1959,Terra,MODIS,0,6.03,267.5,111.3,D,0
53.8861,-118.6842,315.2,2.5,1.5,2011-01-03,1959,Terra,MODIS,0,6.03,266,69.7,D,0
52.986,-123.9417,317,1.6,1.2,2011-01-03,2000,Terra,MODIS,58,6.03,267.8,38.6,D,0
52.9862,-123.9469,322.5,1.6,1.2,2011-01-03,2000,Terra,MODIS,65,6.03,268.6,52,D,0
53.8848,-118.6974,326.7,1.7,1.3,2011-01-03,2009,Aqua,MODIS,0,6.03,266.4,68.5,D,0
54.5187,-119.4381,345.4,1.8,1.3,2011-01-03,2010,Aqua,MODIS,81,6.03,272.9,132.4,D,0
54.5251,-119.4499,347.3,1.8,1.3,2011-01-03,2010,Aqua,MODIS,89,6.03,273,144.1,D,0
53.9021,-118.7754,316.2,1.7,1.3,2011-01-03,2010,Aqua,MODIS,0,6.03,266.2,45.7,D,0
56.9369,-121.4251,300.8,1.2,1.1,2011-01-06,0522,Terra,MODIS,34,6.03,270.6,13.1,N,0
55.7493,-116.4104,305.3,1.1,1,2011-01-06,1851,Terra,MODIS,44,6.03,268.2,13.8,D,0
51.8448,-115.1445,334.3,1,1,2011-01-06,2039,Aqua,MODIS,0,6.03,266.8,42.2,D,0
54.0472,-118.4759,334.7,1,1,2011-01-06,2040,Aqua,MODIS,89,6.03,267.7,42,D,0
54.989,-116.3723,305.9,1,1,2011-01-06,2040,Aqua,MODIS,43,6.03,269.7,11.3,D,0
54.9979,-116.3759,326.2,1,1,2011-01-06,2040,Aqua,MODIS,84,6.03,271.1,29.1,D,0
55.0065,-116.3678,319,1,1,2011-01-06,2040,Aqua,MODIS,79,6.03,270.9,23.4,D,0
55.0044,-116.3836,327.4,1,1,2011-01-06,2040,Aqua,MODIS,85,6.03,271.8,32.6,D,0
54.3129,-116.2903,344.7,1,1,2011-01-06,2040,Aqua,MODIS,0,6.03,269.9,55.9,D,0
54.3355,-116.3316,346.7,1,1,2011-01-06,2040,Aqua,MODIS,72,6.03,272,62.7,D,0
54.0495,-118.4609,322.8,1,1,2011-01-06,2040,Aqua,MODIS,82,6.03,267.1,27.2,D,0
56.2184,-121.9092,300.6,1.1,1,2011-01-06,2041,Aqua,MODIS,40,6.03,269.4,10.8,D,0
56.5192,-121.3507,307.9,1,1,2011-01-06,2041,Aqua,MODIS,58,6.03,268.6,15.1,D,0
51.1213,-120.8606,317.4,1.4,1.2,2011-01-07,2122,Aqua,MODIS,78,6.03,273.4,34.8,D,0
51.8612,-120.0265,305.2,1,1,2011-01-18,0545,Terra,MODIS,24,6.03,266.9,12.8,N,0
50.226,-121.0295,324.7,2.8,1.6,2011-01-19,2147,Aqua,MODIS,73,6.03,269.6,120.6,D,0
56.6707,-121.6534,316.7,1.3,1.1,2011-01-20,1903,Terra,MODIS,73,6.03,267.8,29.8,D,0
50.2259,-121.0117,324.9,1.9,1.4,2011-01-21,2134,Aqua,MODIS,68,6.03,275.5,71.6,D,0
