,acq_date,daynight,latitude,longitude,brightness,confidence,frp,bright_t31
0,2016-01-01,D,57.219,-118.53014999999999,347.5,95.0,127.80000000000001,271.95000000000005
1,2016-01-01,N,55.40175,-116.60865000000001,323.15,97.5,61.4,266.04999999999995
2,2016-01-02,D,54.75468181818182,-115.07913636363637,354.8181818181818,94.9090909090909,113.46363636363635,273.6727272727273
3,2016-01-02,N,55.953050000000005,-114.5908,330.5,98.5,141.45,268.4
4,2016-01-03,N,55.97195,-118.4588,323.1,97.0,20.95,266.85
5,2016-01-04,D,54.02671818181818,-115.80699090909091,376.79090909090905,97.72727272727273,88.32727272727271,272.02727272727276
6,2016-01-05,D,54.53985,-119.26968333333333,375.75,97.66666666666667,0.0,267.2
7,2016-01-06,D,55.7562,-121.7304,380.0,100.0,0.0,267.5
8,2016-01-07,D,55.8853,-122.04650000000001,396.45,100.0,0.0,272.04999999999995
9,2016-01-08,D,52.5592,-115.917,361.0,90.0,0.0,266.4
10,2016-01-12,D,55.48587272727273,-120.23823636363636,365.55454545454546,98.18181818181819,185.73636363636362,274.39090909090913
11,2016-01-13,D,53.14276666666667,-116.7308,344.0333333333333,93.66666666666667,56.53333333333334,273.9666666666667
12,2016-01-18,D,53.122,-116.70775,341.4,92.5,55.45,271.75
13,2016-01-20,D,54.5652,-119.5162,349.6,90.0,69.7,271.1
14,2016-01-22,D,53.0374,-116.15006666666666,352.6333333333334,92.0,91.23333333333333,272.3333333333333
15,2016-01-24,D,53.0426,-116.3055,370.4666666666667,100.0,221.16666666666666,272.90000000000003
16,2016-01-25,D,53.7234,-117.0745,351.3,96.0,94.1,269.2
17,2016-01-26,D,57.0379,-121.4207,342.8,91.0,206.3,277.6
18,2016-01-27,N,49.6016,-114.5778,341.1,100.0,49.7,274.6
19,2016-01-28,D,56.745400000000004,-121.81129999999999,368.95000000000005,97.0,132.7,278.05
20,2016-02-01,D,53.2218,-116.8601,365.2,95.0,0.0,271.9
21,2016-02-03,D,54.4086,-115.87716666666667,355.43333333333334,94.0,66.36666666666666,269.56666666666666
22,2016-02-09,N,54.208,-115.3083,315.0,90.0,31.1,271.2
23,2016-02-11,D,54.57255,-118.91215,336.0,90.0,113.1,276.95
24,2016-02-13,D,54.5645,-116.7066,351.8,97.0,174.7,275.1
25,2016-02-23,D,53.501733333333334,-123.39536666666667,359.3,95.83333333333333,270.09999999999997,276.98333333333335
26,2016-02-24,D,53.83036666666667,-112.99383333333333,356.5,94.0,114.89999999999999,275.7
27,2016-02-28,N,52.339574999999996,-115.887,340.6,100.0,54.349999999999994,267.925
28,2016-03-01,N,55.5125,-119.0698,317.0,94.0,28.9,266.2
29,2016-03-08,N,52.5825,-122.7446,321.7,100.0,61.0,268.7
30,2016-03-09,D,52.89475,-123.81735,349.5,95.5,75.75,277.65
31,2016-03-09,N,52.576800000000006,-122.7501,326.5,100.0,32.0,266.85
32,2016-03-13,D,52.2647,-121.58,384.9,94.0,188.8,279.3
33,2016-03-13,N,52.9292,-123.055,317.1,94.0,27.8,268.7
34,2016-03-18,N,53.0809,-124.014,325.2,95.0,0.0,265.2
35,2016-03-25,N,53.9457,-123.4483,324.1,100.0,28.5,272.6
36,2016-03-28,D,52.177800000000005,-122.45135,350.70000000000005,96.0,235.70000000000002,281.4
37,2016-03-29,D,53.84435,-125.64025000000001,376.25,93.0,430.65,280.20000000000005
38,2016-03-30,D,51.47076666666667,-108.6829,339.56666666666666,91.33333333333333,66.93333333333334,284.23333333333335
39,2016-03-30,N,57.001025,-121.476325,336.3,100.0,112.0,272.6
40,2016-04-01,D,53.839333333333336,-120.91643333333333,350.18333333333334,93.83333333333333,116.93333333333334,287.6666666666667
41,2016-04-02,D,52.473620000000004,-113.48474000000002,351.3,95.4,71.96000000000001,300.12
42,2016-04-03,N,51.1816,-122.7705,339.5,100.0,47.5,273.7
43,2016-04-04,D,49.5063,-103.7753,341.1,92.0,96.4,288.9
44,2016-04-08,D,51.4754,-123.8093,349.3,96.0,109.2,293.3
45,2016-04-13,D,49.9427,-100.1512,335.7,90.0,98.3,292.7
46,2016-04-14,D,55.2188,-121.3099,340.7,92.0,49.4,284.0
47,2016-04-16,D,49.288799999999995,-88.66900000000001,347.75,95.0,80.65,297.65
48,2016-04-17,D,51.4746,-108.1372,342.8,91.0,51.3,303.8
49,2016-04-18,D,53.680345,-113.48352500000001,367.935,96.6,275.665,302.68
50,2016-04-19,D,55.4350724137931,-116.58303448275862,361.53793103448277,96.72413793103448,159.93103448275863,293.26206896551724
51,2016-04-19,N,56.40054897959184,-121.05856326530612,331.0816326530612,98.81632653061224,131.36326530612246,282.6469387755102
52,2016-04-20,D,52.98026,-112.22147333333332,363.28,96.73333333333333,555.1866666666667,289.85333333333335
53,2016-04-20,N,56.5252,-120.3793,332.85,99.0,87.3,279.35
54,2016-04-21,D,52.774527272727276,-107.18977272727274,359.3272727272727,97.63636363636364,142.96363636363637,296.04545454545456
55,2016-04-21,N,51.1965,-122.8657,324.0,100.0,32.0,276.2
56,2016-04-22,D,50.2176,-102.7305,343.0,93.0,73.6,287.3
57,2016-04-25,D,50.8757,-103.3835,338.6,91.0,183.1,277.1
58,2016-04-26,D,50.0017,-101.83336666666666,360.7,97.0,99.40000000000002,282.6666666666667
59,2016-04-27,D,52.0436,-105.829,336.3,90.0,61.4,276.8
60,2016-04-28,D,50.190625,-100.3857,343.05,92.75,46.725,294.3
61,2016-04-29,D,51.238625,-101.7037125,342.075,92.0,115.1,299.3125
62,2016-04-30,D,52.820040740740744,-106.22934074074074,353.11481481481485,95.81481481481481,135.37037037037038,297.5
63,2016-05-01,D,55.5318425925926,-116.73374074074074,363.7907407407408,96.29629629629629,342.65,297.1685185185185
64,2016-05-01,N,56.52695,-120.34603333333332,335.90000000000003,100.0,136.04999999999998,274.0
