,acq_date,daynight,latitude,longitude,brightness,confidence,frp,bright_t31
0,2013-01-02,D,54.1355,-117.19815,371.72499999999997,99.0,108.35,274.325
1,2013-01-03,D,52.932716666666664,-116.61853333333333,368.3,99.0,419.0833333333333,278.4166666666667
2,2013-01-04,D,53.520140000000005,-117.31666,365.56,97.0,129.24,274.98
3,2013-01-08,D,53.870242857142856,-117.4233,345.3,93.85714285714286,109.89999999999999,270.3857142857143
4,2013-01-09,D,52.4066,-115.5316,380.1,100.0,0.0,270.9
5,2013-01-11,D,52.5911,-116.2095,389.7,100.0,0.0,267.7
6,2013-01-15,D,51.4684,-122.6195,364.6,94.0,542.5,277.1
7,2013-01-18,D,51.45786666666667,-122.59960000000001,388.3333333333333,98.0,314.96666666666664,280.6333333333333
8,2013-01-18,N,56.9305,-130.2327,316.7,92.0,20.8,272.9
9,2013-01-24,D,53.648666666666664,-117.41468333333334,346.7833333333333,93.5,136.01666666666668,271.71666666666664
10,2013-01-25,D,53.70728888888888,-117.65115555555556,372.81111111111113,94.66666666666667,156.38888888888889,275.0777777777778
11,2013-01-26,D,53.2311,-116.9575,347.7,90.0,216.9,271.2
12,2013-01-31,D,55.59415,-122.07650000000001,343.3,91.5,128.5,273.25
13,2013-02-01,D,54.354,-117.4336,375.5,94.0,187.3,275.4
14,2013-02-03,D,53.8625,-116.47605,350.475,92.25,73.85,274.35
15,2013-02-03,N,53.8619,-116.5268,317.9,95.0,21.5,270.9
16,2013-02-08,N,55.3401,-121.0501,329.1,100.0,33.55,268.15
17,2013-02-10,D,52.760149999999996,-119.24765,340.0,91.5,52.0,274.05
18,2013-02-11,D,53.8445,-116.2061,343.7,92.0,129.6,277.9
19,2013-02-12,D,56.5475,-122.2968,380.0,100.0,179.4,276.5
20,2013-02-13,N,52.189099999999996,-121.77863333333335,322.3,98.33333333333333,16.3,268.6333333333333
21,2013-02-15,D,50.4876,-120.4169,336.2,90.0,49.9,274.7
22,2013-02-17,D,55.5752,-121.8159,367.5,94.0,114.7,273.6
23,2013-02-20,D,54.3332,-117.59393333333333,343.06666666666666,93.0,142.70000000000002,270.1333333333333
24,2013-02-22,D,51.470749999999995,-122.93565000000001,365.9,97.5,130.7,274.3
25,2013-03-09,N,56.5125,-122.5968,319.1,98.0,43.0,270.9
26,2013-03-13,N,51.8845,-115.2647,322.1,100.0,67.8,268.3
27,2013-03-24,D,53.06751666666667,-122.76153333333333,355.9166666666667,94.66666666666667,127.21666666666665,276.93333333333334
28,2013-03-27,N,56.531666666666666,-122.18683333333333,324.7,100.0,77.03333333333335,272.8333333333333
29,2013-03-28,D,56.501,-122.5866,342.1,91.0,56.2,270.7
30,2013-03-28,N,53.0443,-122.7805,324.6,100.0,28.9,273.6
31,2013-04-01,N,52.9492,-124.4179,323.2,100.0,74.9,274.0
32,2013-04-02,N,54.2105,-124.2476,319.6,99.0,23.1,271.5
