,acq_date,daynight,latitude,longitude,brightness,confidence,frp,bright_t31
0,2021-01-01,N,54.8753,-117.4533,321.9,91.0,0.0,266.1
1,2021-01-05,N,55.5779,-118.4913,333.1,100.0,0.0,266.3
2,2021-01-07,D,52.99495,-115.811525,355.8875,95.375,258.2875,273.5375
3,2021-01-08,D,53.661771428571434,-117.66218571428571,355.3142857142857,95.85714285714286,97.14285714285714,273.2714285714286
4,2021-01-09,D,54.0579,-105.49149999999999,363.56666666666666,95.66666666666667,62.333333333333336,271.3
5,2021-01-12,D,53.384,-113.630125,353.85,96.5,112.17500000000001,273.425
6,2021-01-13,D,55.5165375,-121.4249875,377.125,96.875,180.75,274.1375
7,2021-01-15,D,55.60042222222222,-121.43963333333333,351.8666666666667,96.0,78.62222222222222,275.22222222222223
8,2021-01-16,D,52.583000000000006,-116.32746,361.41999999999996,97.6,413.96000000000004,272.26
9,2021-01-16,N,55.0657,-123.2211,315.4,91.0,80.4,269.75
10,2021-01-17,D,56.671549999999996,-122.24185,364.5,97.0,128.35,273.5
11,2021-01-19,D,55.66875,-121.0097,340.95,92.0,68.6,275.7
12,2021-01-20,N,53.764849999999996,-116.02855,316.20000000000005,92.5,31.3,268.25
13,2021-01-22,D,53.3664,-117.06479999999999,363.15,92.5,0.0,266.95
14,2021-01-30,D,54.478,-119.6219,348.3,95.0,153.1,269.8
15,2021-01-31,D,54.615275,-115.257375,364.85,96.75,67.80000000000001,269.275
16,2021-02-19,D,55.554050000000004,-121.7761,367.15,93.0,128.25,271.05
17,2021-02-20,D,54.8196,-120.07955000000001,347.45,94.0,122.0,270.0
18,2021-03-09,N,52.5745,-90.3649,325.6,100.0,48.9,270.0
19,2021-03-17,D,49.81451111111111,-96.38158888888888,352.7111111111111,96.55555555555556,394.67777777777775,282.0444444444445
20,2021-03-18,D,54.0716,-105.5377,335.7,90.0,64.9,271.5
21,2021-03-18,N,52.431,-100.7927,318.6,96.0,33.35,268.75
22,2021-03-19,N,54.0699,-105.5294,315.2,91.0,19.5,271.3
23,2021-03-28,D,50.012071428571424,-113.51495714285714,353.95714285714286,96.85714285714286,136.24285714285716,285.2142857142857
24,2021-03-29,D,50.44095,-103.16929999999999,371.4,96.5,230.575,295.275
25,2021-04-01,D,49.86794999999999,-99.54939999999999,349.85,95.5,62.599999999999994,286.25
26,2021-04-03,D,50.69955,-98.82005000000001,336.85,90.5,38.8,285.1
27,2021-04-06,D,49.82171666666667,-102.14088333333332,351.06666666666666,95.0,72.33333333333333,298.48333333333335
28,2021-04-07,D,50.152225,-102.53415,352.025,95.0,160.675,297.225
29,2021-04-08,D,49.3487,-96.49435,350.375,94.75,62.9,299.325
30,2021-04-10,D,50.3091,-102.20886666666667,356.56666666666666,95.0,100.43333333333334,297.3
31,2021-04-14,D,49.0189,-118.5648,336.5,90.0,38.7,292.3
32,2021-04-16,D,52.616899999999994,-115.20389999999999,360.7166666666667,97.0,114.56666666666666,297.25
33,2021-04-17,D,51.783249999999995,-111.52867499999999,360.975,97.75,362.15,298.725
34,2021-04-17,N,56.62632,-121.32134,326.14,99.0,119.72,277.48
35,2021-04-20,N,49.1507,-122.659,319.1,98.0,37.1,281.0
36,2021-04-21,D,54.0785,-114.4649,345.3,94.0,55.7,288.8
37,2021-04-22,D,49.592666666666666,-99.74220000000001,356.76666666666665,96.66666666666667,106.2,301.4666666666667
38,2021-04-23,D,52.71694,-110.94859999999998,353.14,94.6,85.02000000000001,294.02
39,2021-04-24,D,50.0467,-96.5027,338.45,91.0,86.4,292.25
40,2021-04-25,D,53.9985,-114.86335,346.7,91.5,59.25,291.95000000000005
41,2021-04-25,N,54.3654,-126.774,314.9,90.0,101.5,272.0
42,2021-04-26,D,52.452666666666666,-110.3759,342.5,92.33333333333333,53.56666666666667,294.8333333333333
43,2021-04-27,D,52.01444285714286,-102.2604857142857,350.3142857142857,95.57142857142857,107.21428571428571,291.31428571428575
44,2021-04-28,D,52.95603333333333,-103.54586666666667,363.40000000000003,95.33333333333333,239.16666666666666,294.96666666666664
45,2021-04-29,D,52.40255,-102.720425,348.95,95.0,78.675,296.575
46,2021-04-30,D,53.2143,-115.36857142857143,357.9857142857143,97.14285714285714,91.52857142857144,295.37142857142857
47,2021-05-01,D,51.39166,-101.48672,353.18,95.0,77.97999999999999,299.4
48,2021-05-04,D,50.74144,-102.78554,354.94,97.0,169.06,300.28000000000003
49,2021-05-05,D,50.98551666666666,-103.09845,348.2,94.16666666666667,79.78333333333333,301.8666666666667
50,2021-05-06,D,51.35193636363636,-103.20839090909091,357.3727272727273,96.45454545454545,110.85454545454546,301.56363636363636
51,2021-05-07,D,50.33226666666667,-98.92163333333333,367.3333333333333,98.0,143.73333333333332,306.03333333333336
52,2021-05-07,N,57.1255,-121.4362,320.4,100.0,24.5,268.6
53,2021-05-08,D,52.1819,-100.90815,360.5,97.5,102.44999999999999,300.4
54,2021-05-09,D,50.6977,-102.21,350.9,90.0,306.3,299.2
55,2021-05-09,N,49.33894375,-96.20198125,351.8125,100.0,350.16875,279.675
56,2021-05-10,D,51.65106666666667,-101.23455,356.6333333333334,94.66666666666667,85.38333333333333,295.8666666666667
57,2021-05-11,D,49.8481,-99.66652500000001,375.075,100.0,393.975,302.775
58,2021-05-12,D,51.43035454545454,-100.2236181818182,365.3454545454546,95.54545454545455,124.57272727272726,303.3181818181818
59,2021-05-12,N,51.706966666666666,-99.9936,323.06666666666666,97.66666666666667,30.566666666666666,281.06666666666666
