,acq_date,daynight,latitude,longitude,brightness,confidence,frp,bright_t31
0,2019-01-01,D,55.2518,-111.7735,336.5,90.0,69.0,270.4
1,2019-01-01,N,55.9807,-122.7407,339.4,100.0,53.3,266.6
2,2019-01-07,D,52.5133,-115.2146,372.9,100.0,0.0,268.6
3,2019-01-12,D,54.0685,-115.9707,342.5,93.0,54.8,275.0
4,2019-01-13,D,54.3903,-117.5667,356.9,93.0,262.4,276.4
5,2019-01-13,N,54.718925,-115.7295,320.2,97.0,75.10000000000001,268.725
6,2019-01-14,D,56.281,-116.7514,340.7,92.0,50.4,270.0
7,2019-01-15,D,54.3505,-118.7706,347.5,95.0,104.2,269.0
8,2019-01-21,D,54.2835,-118.5281,345.2,94.0,59.5,273.1
9,2019-01-24,D,54.297200000000004,-117.79022499999999,357.05,95.25,103.275,272.875
10,2019-01-27,N,55.0171,-120.1639,317.5,95.0,44.2,274.4
11,2019-01-29,D,53.261775,-116.6306,339.85,91.75,140.3,270.67499999999995
12,2019-02-27,D,54.3819,-115.3881,346.2,93.0,60.8,268.8
13,2019-03-18,N,54.7667,-126.8947,323.0,100.0,27.1,270.0
14,2019-03-20,N,53.841,-125.2411,338.5,100.0,52.2,274.3
15,2019-03-21,D,53.054,-124.6791,342.5,93.0,165.0,281.6
16,2019-03-22,N,55.61035,-120.26545,326.4,97.0,31.599999999999998,273.65
17,2019-03-23,D,42.5505,-82.4921,341.5,92.0,61.9,283.4
18,2019-03-25,D,54.5642,-107.8106,336.3,90.0,43.8,276.4
19,2019-03-25,N,54.938,-107.2964,323.1,100.0,34.7,266.8
20,2019-03-27,D,53.18025,-123.99690000000001,363.85,99.0,106.05,277.25
21,2019-03-29,D,56.1701,-118.8298,336.6,90.0,41.3,280.2
22,2019-03-29,N,54.405166666666666,-119.79563333333334,330.8666666666667,97.0,40.93333333333333,273.1333333333333
23,2019-04-01,D,54.5129,-126.82735,340.95,92.0,57.25,284.5
24,2019-04-02,N,58.4592,-114.4459,318.0,96.0,23.3,268.4
25,2019-04-03,D,50.987233333333336,-101.76913333333333,352.56666666666666,94.66666666666667,82.53333333333335,284.23333333333335
26,2019-04-04,D,52.701350000000005,-111.0778,347.15,94.5,61.35,290.29999999999995
27,2019-04-05,N,53.9736,-123.5719,315.7,92.0,19.8,273.7
28,2019-04-12,D,50.9127,-99.4153,341.9,93.0,48.8,283.4
29,2019-04-13,D,52.531325,-103.784575,347.15,94.5,157.35,288.7
30,2019-04-14,N,51.583333333333336,-110.19213333333335,319.26666666666665,95.0,49.666666666666664,273.0333333333333
31,2019-04-16,D,56.1436,-119.2766,361.9,100.0,99.6,284.9
32,2019-04-19,D,52.646950000000004,-102.64065,361.2,95.5,100.25,297.7
33,2019-04-21,D,56.6447,-117.3106,354.8,98.0,83.5,281.2
34,2019-04-22,D,51.43302857142857,-104.20495714285714,381.9428571428571,96.42857142857143,313.9714285714286,302.34285714285716
35,2019-04-23,D,51.97395,-108.17099999999999,350.65,94.5,225.85000000000002,273.8
36,2019-04-23,N,52.021942857142854,-108.1676,332.0857142857143,98.71428571428571,103.48571428571428,271.8142857142857
37,2019-04-24,D,51.7062875,-106.266409375,372.034375,98.15625,163.1125,304.4125
38,2019-04-24,N,52.7216,-106.0609,319.7,99.0,22.8,278.5
39,2019-04-25,D,50.728025,-102.67130833333333,357.09999999999997,94.66666666666667,166.61666666666667,293.3
40,2019-04-25,N,51.9963,-108.1374,321.2,100.0,41.9,274.1
41,2019-04-26,D,50.687110000000004,-101.63269,347.48,94.3,59.3,292.11
42,2019-04-29,D,52.9169,-102.0608,347.0,94.5,174.15,296.9
43,2019-04-30,D,51.4889,-101.67106666666666,375.9666666666667,97.66666666666667,199.86666666666667,297.6333333333333
44,2019-04-30,N,51.3857,-99.40205,319.4,95.0,32.3,268.75
45,2019-05-01,D,51.782000000000004,-103.50167000000002,350.21999999999997,93.9,97.42,295.1
46,2019-05-02,D,45.7395,-66.2191,348.5,95.0,56.5,294.8
47,2019-05-04,D,54.1327,-114.1582,370.3,100.0,132.9,289.5
48,2019-05-06,D,46.948,-71.5701,338.0,91.0,76.5,295.0
49,2019-05-07,D,50.354686666666666,-99.17560666666667,359.74,95.73333333333333,94.52666666666667,299.54
50,2019-05-07,N,57.890299999999996,-116.93545,317.75,95.5,116.4,274.35
51,2019-05-08,D,49.791775,-98.495675,360.325,97.0,357.79999999999995,296.35
52,2019-05-09,D,49.73636666666667,-106.35057499999999,352.4916666666666,95.41666666666667,88.26666666666667,299.2
53,2019-05-10,D,50.358,-125.9406,337.2,90.0,55.2,297.5
54,2019-05-10,N,49.474325,-118.573125,325.925,100.0,30.675,283.575
